gender,deaths,agegroup,pop,deaths_100k,strictness,method,mode
Male,506,84,1111832,45.51047280524396,Permissive,Suicide,Firearm
Female,26,15,4945281,0.5257537438216352,Strict,Suicide,Firearm
Female,27,16,4927552,0.5479394230644344,Strict,Suicide,Firearm
Female,51,17,4956073,1.029040532695947,Strict,Suicide,Firearm
Female,43,18,5107401,0.8419154869570649,Strict,Suicide,Firearm
Female,48,19,5063043,0.9480464613869565,Strict,Suicide,Firearm
Female,44,20,5107793,0.8614288010496902,Strict,Suicide,Firearm
Female,58,21,5166226,1.12267639859348,Strict,Suicide,Firearm
Female,72,22,5138971,1.401058694435131,Strict,Suicide,Firearm
Female,69,23,5160232,1.3371491824398594,Strict,Suicide,Firearm
Female,77,24,5254939,1.4652881793680193,Strict,Suicide,Firearm
Female,94,25,5358659,1.7541702131074213,Strict,Suicide,Firearm
Female,72,26,5474141,1.3152748531687437,Strict,Suicide,Firearm
Female,80,27,5602608,1.4279064321473143,Strict,Suicide,Firearm
Female,97,28,5710139,1.6987327278722988,Strict,Suicide,Firearm
Female,89,29,5745950,1.5489170633228624,Strict,Suicide,Firearm
Female,90,30,5736556,1.5688855822204122,Strict,Suicide,Firearm
Female,78,31,5679225,1.3734268320061276,Strict,Suicide,Firearm
Female,76,32,5616232,1.3532204510070096,Strict,Suicide,Firearm
Female,100,33,5554963,1.8001920084796244,Strict,Suicide,Firearm
Female,78,34,5496609,1.4190567311591564,Strict,Suicide,Firearm
Female,85,35,5462556,1.5560481210627406,Strict,Suicide,Firearm
Female,94,36,5429611,1.7312474134887381,Strict,Suicide,Firearm
Female,59,37,5394548,1.0936968213092182,Strict,Suicide,Firearm
Female,85,38,5377585,1.5806351735955821,Strict,Suicide,Firearm
Female,81,39,5320305,1.5224691065643794,Strict,Suicide,Firearm
Female,79,40,5227340,1.5112848982465268,Strict,Suicide,Firearm
Female,78,41,5108208,1.5269542665451368,Strict,Suicide,Firearm
Female,80,42,5004704,1.5984961348363458,Strict,Suicide,Firearm
Female,70,43,4931037,1.419579694899876,Strict,Suicide,Firearm
Female,62,44,4865681,1.274230678090076,Strict,Suicide,Firearm
Female,85,45,4833656,1.7585032944007601,Strict,Suicide,Firearm
Female,83,46,4838444,1.7154275217404604,Strict,Suicide,Firearm
Female,87,47,4947533,1.758452141703754,Strict,Suicide,Firearm
Female,85,48,5065891,1.6778884504226403,Strict,Suicide,Firearm
Female,86,49,5155701,1.6680563903919174,Strict,Suicide,Firearm
Female,87,50,5214506,1.6684226655410885,Strict,Suicide,Firearm
Female,115,51,5200978,2.2111226004032316,Strict,Suicide,Firearm
Female,83,52,5161086,1.6081886641687428,Strict,Suicide,Firearm
Female,117,53,5187829,2.2552786531707194,Strict,Suicide,Firearm
Female,108,54,5268910,2.049759817495459,Strict,Suicide,Firearm
Female,112,55,5362532,2.0885656253426554,Strict,Suicide,Firearm
Female,97,56,5425651,1.787803896712118,Strict,Suicide,Firearm
Female,119,57,5493587,2.1661621086550555,Strict,Suicide,Firearm
Female,113,58,5533718,2.0420267169378707,Strict,Suicide,Firearm
Female,92,59,5520805,1.6664236465515445,Strict,Suicide,Firearm
Female,81,60,5484106,1.4769955212390133,Strict,Suicide,Firearm
Female,109,61,5405342,2.016523653822459,Strict,Suicide,Firearm
Female,80,62,5307847,1.507202449505421,Strict,Suicide,Firearm
Female,91,63,5213536,1.7454564426139958,Strict,Suicide,Firearm
Female,84,64,5091698,1.6497443485454166,Strict,Suicide,Firearm
Female,81,65,4937698,1.6404405453715476,Strict,Suicide,Firearm
Female,68,66,4746247,1.4327109398225588,Strict,Suicide,Firearm
Female,61,67,4583019,1.331000373334695,Strict,Suicide,Firearm
Female,76,68,4420471,1.7192738058908204,Strict,Suicide,Firearm
Female,68,69,4266168,1.593936291304046,Strict,Suicide,Firearm
Female,59,70,4125622,1.4300873904589417,Strict,Suicide,Firearm
Female,58,71,4034836,1.4374809781611941,Strict,Suicide,Firearm
Female,45,72,3776262,1.191654604473948,Strict,Suicide,Firearm
Female,58,73,3536139,1.6402070167490588,Strict,Suicide,Firearm
Female,47,74,3308199,1.420712599211837,Strict,Suicide,Firearm
Female,43,75,3097084,1.3884027685396974,Strict,Suicide,Firearm
Female,46,76,2771621,1.6596785779873944,Strict,Suicide,Firearm
Female,31,77,2615159,1.1853963755167467,Strict,Suicide,Firearm
Female,32,78,2449826,1.3062152169174464,Strict,Suicide,Firearm
Female,23,79,2271047,1.012748745402451,Strict,Suicide,Firearm
Female,26,80,2070847,1.2555249132359851,Strict,Suicide,Firearm
Female,19,81,1907101,0.9962765474927652,Strict,Suicide,Firearm
Female,17,82,1773041,0.9588046751315958,Strict,Suicide,Firearm
Female,23,83,1652725,1.3916410776142432,Strict,Suicide,Firearm
Female,13,84,1518633,0.8560330244371089,Strict,Suicide,Firearm
Male,180,15,5169144,3.482201308379105,Strict,Suicide,Firearm
Male,245,16,5147596,4.759503271041472,Strict,Suicide,Firearm
Male,277,17,5178615,5.34892051253086,Strict,Suicide,Firearm
Male,352,18,5296279,6.646175550797079,Strict,Suicide,Firearm
Male,426,19,5258212,8.101613248001412,Strict,Suicide,Firearm
Male,421,20,5324493,7.906856108177812,Strict,Suicide,Firearm
Male,650,21,5378814,12.084448356087421,Strict,Suicide,Firearm
Male,693,22,5352093,12.948205496429155,Strict,Suicide,Firearm
Male,633,23,5376009,11.774533859597332,Strict,Suicide,Firearm
Male,673,24,5487913,12.263313941019108,Strict,Suicide,Firearm
Male,595,25,5610269,10.605552068893665,Strict,Suicide,Firearm
Male,609,26,5738639,10.61227235238181,Strict,Suicide,Firearm
Male,608,27,5877604,10.344351201612087,Strict,Suicide,Firearm
Male,585,28,5978609,9.7848847449298,Strict,Suicide,Firearm
Male,562,29,5998995,9.3682358461709,Strict,Suicide,Firearm
Male,571,30,5974455,9.557357114582,Strict,Suicide,Firearm
Male,610,31,5905150,10.329966215930162,Strict,Suicide,Firearm
Male,564,32,5832730,9.669571538541987,Strict,Suicide,Firearm
Male,565,33,5754903,9.81771543325752,Strict,Suicide,Firearm
Male,512,34,5674476,9.02285955566646,Strict,Suicide,Firearm
Male,525,35,5624971,9.33338145209993,Strict,Suicide,Firearm
Male,497,36,5569241,8.924016755604578,Strict,Suicide,Firearm
Male,530,37,5506348,9.625254342805794,Strict,Suicide,Firearm
Male,512,38,5478026,9.346432455778778,Strict,Suicide,Firearm
Male,509,39,5403877,9.419163315523281,Strict,Suicide,Firearm
